epoch,model,train_loss,val_loss,train_si_sdr,val_si_sdr,lr,elapsed_s
1,vibration,0.5966437379802977,-0.460135888894399,1.8954397298438208,2.933588880697886,0.0002,518.9184772968292
2,vibration,-0.654084888611521,-0.5285544443130493,3.2459318231812544,2.988294043223063,0.0004,518.3543643951416
3,vibration,-1.005418028839997,-1.369574785232544,3.8451407994117055,4.565302608172098,0.0006,518.265611410141
4,vibration,-1.2986550572769981,-1.3692326255639393,4.369016091934272,4.503477047602336,0.0008,518.115024805069
5,vibration,-1.4950251772829464,-1.1485259124437968,4.728860292656081,4.0621158618927,0.001,518.1872057914734
6,vibration,-1.6846368802530425,-1.2757446942329407,5.076756005819354,4.276911604086558,0.001,518.1699290275574
7,vibration,-1.8550599547709739,-1.3839347171783447,5.419842059178012,4.4862409575780235,0.000999726628670463,518.1059248447418
8,vibration,-1.865633999483926,-1.6403364160855611,5.413106500668185,4.987433634122213,0.0009989068136093873,518.775171995163
9,vibration,-1.822366124868393,-1.5783033644358317,5.318650589193616,4.852702523946762,0.0009975414512725057,518.6151494979858
10,vibration,-2.2131207372631345,-1.1821403901576997,6.0486216541017805,4.082176208496094,0.0009956320346634876,518.8257439136505
11,vibration,-2.4194175456421716,-1.464560881694158,6.449348327117307,4.586856244723002,0.0009931806517013613,520.7350912094116
12,vibration,-2.215422839343548,-1.5868474509716033,6.056831430173346,4.873007794698079,0.0009901899829374047,521.0659854412079
13,vibration,-2.431186734412398,-1.8266382233301799,6.479097205945424,5.3126271824836735,0.000986663298624003,520.4900856018066
14,vibration,-2.400552730492183,-1.9332020541032156,6.413067603630679,5.509823455492655,0.0009826044551386743,520.7572479248047
15,vibration,-2.45939422414984,-1.9001160509586335,6.5153305462939395,5.43768440302213,0.0009780178907671788,520.898389339447
16,vibration,-2.4504528939979418,-1.9937146576245626,6.494557179059301,5.6104248213768,0.0009729086208503173,520.16357588768
17,vibration,-2.532041790647166,-2.0770260632038116,6.65246063294581,5.777658655802409,0.0009672822322997304,520.192132472992
18,vibration,-2.462945932848113,-1.9163629206816355,6.533479415433748,5.48698918279012,0.0009611448774886924,520.3436441421509
19,vibration,-2.533597259581089,-1.89810297870636,6.670458295813629,5.4211021343866985,0.0009545032675245813,520.351881980896
20,vibration,-2.7233951030288424,-2.036571456750234,7.008357701676233,5.680837619304657,0.0009473646649103818,520.8379893302917
21,vibration,-2.627025581198079,-2.46825323176384,6.822075603438275,6.5312300019264224,0.0009397368756032445,522.8518097400665
22,vibration,-2.669888174210276,-1.6779072436491649,6.901862367033958,5.020378932456175,0.000931628240478787,522.3604662418365
23,vibration,-2.690994289670672,-2.2597035519282023,6.941809496964727,6.124683595339457,0.0009230476262104677,521.9206721782684
24,vibration,-2.5458331528731755,-1.6458244585990907,6.65397374020304,4.936354098637898,0.00091400441557401,522.4567360877991
25,vibration,-2.5817283492939813,-2.3564694917201994,6.7090292699081555,6.320646855513255,0.0009045084971874737,520.3008780479431
26,vibration,-2.8158441328406334,-2.7870757829348247,7.180839111736843,7.129155062119166,0.0008945702546981969,520.2301485538483
27,vibration,-2.8898223444478854,-2.3453968881766003,7.30774034589529,6.2551141237417855,0.0008842005554284296,520.1389920711517
28,vibration,-2.7306570411154203,-1.9241765581766763,6.9948669879606795,5.488383042494456,0.000873410738492077,520.2962992191315
29,vibration,-2.8492749786036353,-2.065054293632507,7.244344430914947,5.698435045401255,0.0008622126023955446,520.3674554824829
30,vibration,-2.9326372512323515,-2.2881785496870677,7.401154685378074,6.165767912189166,0.0008506183921362443,520.5098986625671
31,vibration,-2.8048971876757487,-2.559960363229116,7.145968240422862,6.679568600177765,0.0008386407858128706,520.9319589138031
32,vibration,-2.765317824763911,-2.554081544160843,7.057921510177,6.6356902554829915,0.0008262928807620843,520.9473106861115
33,vibration,-2.884410620842661,-2.258816434462865,7.28713765556046,6.132933210531871,0.0008135881792367685,521.5004849433899
34,vibration,-2.9016913456235613,-2.773953894853592,7.319067314182009,7.053119468212127,0.0008005405736415125,522.9263427257538
35,vibration,-2.8750170685734067,-2.2433593905766807,7.273269570525203,6.087812987009684,0.0007871643313414718,522.9836168289185
36,vibration,-3.0156157796553202,-2.3160311552683512,7.537585471613067,6.198078098456065,0.0007734740790612135,522.9171919822693
37,vibration,-3.0188816902552333,-2.644168120622635,7.555250192667756,6.819268754641215,0.0007594847868906076,522.888329744339
38,vibration,-3.269985078190054,-2.5285975835323335,8.023144035577774,6.610507125536601,0.0007452117519152541,522.9323151111603
39,vibration,-3.1636900195053648,-2.7667785270214083,7.817788253869329,7.058973803361257,0.000730670581489344,523.5680994987488
40,vibration,-3.277816056694303,-2.834310795942942,8.042706537536212,7.187717378377914,0.0007158771761692464,523.5049352645874
41,vibration,-3.1016743925043513,-2.8786430834134418,7.684395004344838,7.2958118836085,0.0007008477123264848,523.1024010181427
42,vibration,-3.3447011708106316,-2.446018396615982,8.168055343091488,6.425920252164205,0.0006855986244591103,523.601300239563
43,vibration,-2.997672147844519,-2.6274084446430206,7.4907585494773725,6.8015420509974165,0.0006701465872208216,524.0442938804626
44,vibration,-3.2434222982270375,-2.7914639706611633,7.951583197065762,7.08042895523707,0.0006545084971874737,523.8986790180206
45,vibration,-3.252938508629799,-2.5949495729605356,7.971521740112986,6.672310034036636,0.0006387014543809223,523.7056493759155
46,vibration,-3.3201717107892037,-2.9888290490309397,8.096851118411337,7.4631716909408565,0.0006227427435703996,521.6229350566864
47,vibration,-3.4515235217724527,-2.768218483567238,8.355608991299357,7.030181059360504,0.0006066498153718734,522.5197153091431
48,vibration,-3.243475519870009,-3.064992868979772,7.945551313068186,7.653437538464864,0.000590440267166055,522.2841794490814
49,vibration,-3.3858801360385757,-2.324520975748698,8.234210939756462,6.181793324311574,0.000574131823855921,522.8205723762512
50,vibration,-3.45854073376315,-2.769507394393285,8.370769961467811,7.054881782929103,0.0005577423184847932,522.785101890564
51,vibration,-3.27540103663717,-2.899864195903142,8.008428966607367,7.292886804421743,0.0005412896727361663,522.5845718383789
52,vibration,-3.5311991708108357,-2.860187002023061,8.496682149955205,7.2013941078186035,0.0005247918773366112,522.6299996376038
53,vibration,-3.3618722860046795,-2.4830501582225164,8.162610318405287,6.48951512503624,0.0005082669723831793,522.907782793045
54,vibration,-3.4491893128667557,-3.0649967103799183,8.344741394741195,7.646250271956126,0.0004917330276168208,522.8709733486176
55,vibration,-3.5988356020024845,-3.2048146576881407,8.61693559222562,7.838401713212331,0.0004752081226633888,522.7974004745483
56,vibration,-3.669860607905047,-3.0971363201141355,8.759652693271637,7.696736882646879,0.0004587103272638339,522.9266691207886
57,vibration,-3.5953190597125464,-3.4737755654652913,8.61828348823956,8.398553044716516,0.00044225768151520694,522.9446859359741
58,vibration,-3.5718101385491234,-3.2390136857827505,8.57002978938818,7.920704145789147,0.00042586817614407896,522.8994858264923
