epoch,model,train_loss,val_loss,train_si_sdr,val_si_sdr,lr,elapsed_s
1,audio_only,0.7799909563064575,-0.2706040817896525,1.7174038185988154,2.6586630541483562,0.0002,495.2061176300049
2,audio_only,7253.33461083528,-0.46228753836949665,2.916603786059788,2.8797927433649697,0.0004,494.31523752212524
3,audio_only,-0.9022212310688836,-1.167248396952947,3.6749301854499747,4.1720690898895265,0.0006,493.55683970451355
4,audio_only,-1.2118086438264166,-1.3817453451951345,4.236451907451664,4.5430347493489585,0.0008,494.79522037506104
5,audio_only,-1.3787210397805487,-0.7018398479620616,4.547449820820774,3.2086353437105815,0.001,492.7118248939514
6,audio_only,-1.5805929512126105,-0.09145264927546183,4.917809438143458,2.1235347126324973,0.001,494.1202595233917
7,audio_only,-1.6655512021950314,-1.308515765508016,5.077477000487702,4.348321219444275,0.000999726628670463,493.5054748058319
8,audio_only,-1.8018591449345862,-1.687326761563619,5.305644539569105,5.097456491152445,0.0009989068136093873,494.0144422054291
9,audio_only,-1.6378063497287887,-1.2555413667360942,5.00123718183807,4.35966808350881,0.0009975414512725057,495.2302596569061
10,audio_only,-2.0780422268850463,-1.2115827390352885,5.811391798700605,4.161906662623087,0.0009956320346634876,496.4919013977051
11,audio_only,-2.211757292781557,-1.4429484484990438,6.076406354350703,4.593946542739868,0.0009931806517013613,496.3333349227905
12,audio_only,-1.9948718175462314,-1.5203626987139385,5.665732806129115,4.77468480237325,0.0009901899829374047,497.086217880249
13,audio_only,-2.1244306020821844,-1.5898181777000426,5.92445070498756,4.895787830074628,0.000986663298624003,496.3339738845825
14,audio_only,-2.226633110846792,-1.7020113764603932,6.116282719535487,5.080160605271657,0.0009826044551386743,494.60380005836487
15,audio_only,-2.171676754789693,-1.8836900667349497,6.001572244167328,5.453130697091421,0.0009780178907671788,495.67605805397034
16,audio_only,-2.22071539076737,-1.268206076780955,6.091806664262499,4.2939554834365845,0.0009729086208503173,497.8156008720398
17,audio_only,-2.162173798373767,-1.9651253078778586,5.9836046547336235,5.596897156715393,0.0009672822322997304,498.294442653656
18,audio_only,-2.213550166947501,-1.760911878347397,6.087119637617043,5.214771845022837,0.0009611448774886924,498.24531531333923
19,audio_only,-2.2955723349366868,-1.8911141935189566,6.252429945388011,5.454882320086162,0.0009545032675245813,497.43281149864197
20,audio_only,-2.4949521008815085,-1.7296188526153564,6.609250178643635,5.129594345251719,0.0009473646649103818,497.3281397819519
21,audio_only,-2.3756400923558645,-2.128085654258728,6.3844371553063395,5.929079407731692,0.0009397368756032445,496.7345507144928
22,audio_only,-2.340329122040953,-1.6185331298510233,6.310852960905859,4.938831526756287,0.000931628240478787,497.03708720207214
23,audio_only,-2.5336644875918117,-1.928654039700826,6.682723644801548,5.556278306484223,0.0009230476262104677,496.86442589759827
24,audio_only,-2.2911539802977017,-1.4337696516513825,6.21151389164584,4.5808398405313495,0.00091400441557401,496.65376830101013
25,audio_only,-2.3684709897892815,-2.3198862804571787,6.344601728141308,6.307928036371867,0.0009045084971874737,498.19713830947876
26,audio_only,-2.5780093869992666,-2.5589826616446176,6.773298347302846,6.7478546812534335,0.0008945702546981969,497.14102029800415
27,audio_only,-2.7030420295085227,-2.178738388299942,6.9986482845544815,5.989524034420649,0.0008842005554284296,496.97062039375305
28,audio_only,-2.502965241926057,-1.2072505580584207,6.609291550295693,4.190583278417587,0.000873410738492077,495.8701572418213
29,audio_only,-2.5889400350792067,-1.9105119499365488,6.79858038106135,5.438952013015747,0.0008622126023955446,495.9301829338074
30,audio_only,-2.654968895324639,-2.014395845413208,6.917879919854658,5.710817562778791,0.0008506183921362443,496.158105134964
31,audio_only,-2.5319089728764124,-2.2519142951170603,6.672638738530023,6.150082696755727,0.0008386407858128706,496.2429449558258
32,audio_only,-2.3799041530064176,-2.1270215566953024,6.369172165785517,5.894496598879496,0.0008262928807620843,496.27493715286255
33,audio_only,-2.60631372487545,-2.1397339981396994,6.794157058809485,5.942734100818634,0.0008135881792367685,496.3005864620209
34,audio_only,-2.6701275694966315,-2.5105355476538342,6.92048568379879,6.589172160784403,0.0008005405736415125,496.4938278198242
